代码	状态	类型	到期日	收回价	街货量	最新价
52505	正常	牛	2021/09/29	24500.000	0	0.218
52517	正常	牛	2021/02/25	24210.000	0	0.236
52782	正常	牛	2021/09/29	24300.000	0	0.255
52811	正常	牛	2021/02/25	24610.000	0	0.200
52812	正常	牛	2021/02/25	23810.000	0	0.275
52922	正常	牛	2021/09/29	23938.000	0	0.200
52923	正常	牛	2021/09/29	24558.000	0	0.185
53019	正常	牛	2021/12/30	24038.000	0	0.194
53147	正常	牛	2021/12/30	23838.000	0	0.209
53265	正常	牛	2021/11/29	24268.000	0	0.176
53318	正常	牛	2021/09/29	24700.000	0	0.200
53320	正常	牛	2021/09/29	25000.000	0	0.123
53415	正常	牛	2021/09/29	24650.000	0	0.176
53416	正常	牛	2021/09/29	24400.000	0	0.285
53422	正常	牛	2021/03/30	24510.000	0	0.205
53480	正常	牛	2021/09/29	25148.000	0	0.137
53481	正常	牛	2021/10/28	24948.000	0	0.154
53482	正常	牛	2021/11/29	24748.000	0	0.171
53483	正常	牛	2021/12/30	24578.000	0	0.187
53484	正常	牛	2021/10/28	24378.000	0	0.202
53485	正常	牛	2021/11/29	24078.000	0	0.228
53490	正常	牛	2021/12/30	24918.000	0	0.159
53498	正常	牛	2021/10/28	24300.000	0	0.211
53520	正常	牛	2021/11/29	24968.000	0	0.150
53600	正常	牛	2021/12/30	24648.000	0	0.181
53601	正常	牛	2021/09/29	24428.000	0	0.198
53602	正常	牛	2021/10/28	24278.000	0	0.211
53609	正常	牛	2021/12/30	24428.000	0	0.194
53630	正常	牛	2021/03/30	24710.000	0	0.187
53658	正常	牛	2021/11/29	25028.000	0	0.145
53717	正常	牛	2021/09/29	24600.000	0	0.228
53718	正常	牛	2021/09/29	23300.000	0	0.395
53772	正常	牛	2021/11/29	24928.000	0	0.131
53773	正常	牛	2021/11/29	24318.000	0	0.206
53774	正常	牛	2021/11/29	24108.000	0	0.225
53786	正常	牛	2021/11/29	24908.000	0	0.158
53804	正常	牛	2021/10/28	24948.000	0	0.151
53816	正常	牛	2021/12/30	24628.000	0	0.180
53854	正常	牛	2021/11/29	24828.000	0	0.166
53867	正常	牛	2021/12/30	24448.000	0	0.198
53874	正常	牛	2021/12/30	25088.000	0	0.137
53902	正常	牛	2021/10/28	25048.000	0	0.120
53941	正常	牛	2021/11/29	25118.000	0	0.139
53942	正常	牛	2021/11/29	24968.000	0	0.153
54021	正常	牛	2021/12/30	25078.000	0	0.144
54149	正常	牛	2021/12/30	25050.000	0	0.145
54171	正常	牛	2021/12/30	25248.000	0	0.129
54341	正常	牛	2021/12/30	25128.000	0	0.181
54403	正常	牛	2021/11/29	25038.000	0	0.148
54415	正常	牛	2021/10/28	25000.000	0	0.144
54474	正常	牛	2021/10/28	25468.000	0	0.108
54502	正常	牛	2021/10/28	24928.000	0	0.148
54503	正常	牛	2021/11/29	24678.000	0	0.171
54509	正常	牛	2021/10/28	24850.000	0	0.146
54526	正常	牛	2021/11/29	25300.000	0	0.123
54542	正常	牛	2021/11/29	25168.000	0	0.137
54545	正常	牛	2021/11/29	24450.000	0	0.201
54546	正常	牛	2021/11/29	24250.000	0	0.219
54558	正常	牛	2021/11/29	25018.000	0	0.148
54611	正常	牛	2021/12/30	25008.000	0	0.147
54647	正常	牛	2021/10/28	25418.000	0	0.113
54650	正常	牛	2021/12/30	25468.000	0	0.111
54666	正常	牛	2021/12/30	24838.000	0	0.157
54677	正常	牛	2021/11/29	25358.000	0	0.118
54678	正常	牛	2021/11/29	25028.000	0	0.147
54726	正常	牛	2021/10/28	25368.000	0	0.117
54734	正常	牛	2021/11/29	24688.000	0	0.170
54762	正常	牛	2021/12/30	25100.000	0	0.143
54763	正常	牛	2021/12/30	24150.000	0	0.230
54769	正常	牛	2021/11/29	24928.000	0	0.156
54789	正常	牛	2021/10/28	25328.000	0	0.119
54792	正常	牛	2021/12/30	25148.000	0	0.114
54793	正常	牛	2021/09/29	24668.000	0	0.174
54834	正常	牛	2021/12/30	25350.000	0	0.120
54852	正常	牛	2021/12/30	25338.000	0	0.120
54853	正常	牛	2021/12/30	24858.000	0	0.164
54856	正常	牛	2021/11/29	25448.000	0	0.110
54865	正常	牛	2021/12/30	25318.000	0	0.119
54866	正常	牛	2021/11/29	25100.000	0	0.136
54899	正常	牛	2021/11/29	25058.000	0	0.142
54911	正常	牛	2021/04/29	25510.000	0	0.114
54937	正常	牛	2021/11/29	25000.000	0	0.129
54960	正常	牛	2021/12/30	25278.000	0	0.123
54961	正常	牛	2021/10/28	25038.000	0	0.140
54986	正常	牛	2021/10/28	25288.000	0	0.122
54988	正常	牛	2021/11/29	24888.000	0	0.156
55018	正常	牛	2021/12/30	25378.000	0	0.114
55049	正常	牛	2021/10/28	24988.000	0	0.125
55052	正常	牛	2021/11/29	25348.000	0	0.117
55077	正常	牛	2021/12/30	25238.000	0	0.126
55093	正常	牛	2021/11/29	25288.000	0	0.123
56115	正常	熊	2020/03/30	29400.000	0	0.290
56423	正常	熊	2020/03/30	29250.000	0	0.275
56424	正常	熊	2020/03/30	29350.000	0	0.285
56564	正常	牛	2021/11/29	25188.000	0	0.135
56922	正常	牛	2021/12/30	25150.000	0	0.133
56948	正常	牛	2021/09/29	25358.000	0	0.098
57368	正常	牛	2022/10/28	25768.000	0	0.078
57415	正常	牛	2021/09/29	25788.000	0	0.072
57417	正常	牛	2021/11/29	25638.000	0	0.096
57459	正常	牛	2021/11/29	25828.000	0	0.076
57507	正常	牛	2021/12/30	25648.000	0	0.092
57525	正常	牛	2021/09/29	25018.000	0	0.122
57526	正常	牛	2021/09/29	25258.000	0	0.125
57527	正常	牛	2021/09/29	25458.000	0	0.108
57597	正常	牛	2021/04/29	25710.000	0	0.095
57621	正常	牛	2021/11/29	25850.000	0	0.076
57679	正常	牛	2021/11/29	25918.000	0	0.067
57680	正常	牛	2021/11/29	25758.000	0	0.082
57681	正常	牛	2021/12/30	25488.000	0	0.105
57730	正常	牛	2021/10/28	25738.000	0	0.089
57796	正常	牛	2021/11/29	25778.000	0	0.093
57797	正常	牛	2021/11/29	25678.000	0	0.091
57904	正常	牛	2021/11/29	25658.000	0	0.095
57923	正常	牛	2021/11/29	25875.000	0	0.071
57928	正常	牛	2021/12/30	25450.000	0	0.107
57976	正常	牛	2022/01/28	25568.000	0	0.102
57981	正常	牛	2022/01/28	24888.000	0	0.164
58009	正常	牛	2021/11/29	25650.000	0	0.094
58025	正常	牛	2021/10/28	25668.000	0	0.090
58029	正常	牛	2021/11/29	25768.000	0	0.082
58104	正常	牛	2021/09/29	25893.000	0	0.076
58124	正常	牛	2021/10/28	25558.000	0	0.089
58135	正常	牛	2021/11/29	25848.000	0	0.076
58174	正常	牛	2021/04/29	25610.000	0	0.105
58236	正常	牛	2021/11/29	25600.000	0	0.100
58279	正常	牛	2022/01/28	25650.000	0	0.094
58324	正常	牛	2021/12/30	25720.000	0	0.087
58327	正常	牛	2021/10/28	25558.000	0	0.098
58332	正常	牛	2021/11/29	25290.000	0	0.239
58383	正常	牛	2021/12/30	25548.000	0	0.102
58387	正常	牛	2021/12/30	25679.000	0	0.058
58450	正常	牛	2021/09/29	25378.000	0	0.115
58812	正常	牛	2021/04/29	25820.000	0	0.083
59591	正常	牛	2021/11/29	25918.000	0	0.064
59633	正常	牛	2021/11/29	26168.000	0	0.049
59803	正常	牛	2021/10/28	25948.000	0	0.066
59895	正常	牛	2022/10/28	26018.000	0	0.058
60295	正常	牛	2021/11/29	26088.000	0	0.056
60502	正常	牛	2021/09/29	26028.000	0	0.057
60620	正常	牛	2021/11/29	24600.000	0	0.184
60622	正常	牛	2021/11/29	24300.000	0	0.209
60693	正常	牛	2022/10/28	26068.000	0	0.053
60834	正常	牛	2021/10/28	26108.000	0	0.052
61026	正常	牛	2021/11/29	26348.000	0	0.035
61146	正常	牛	2021/09/29	26148.000	0	0.048
61152	正常	牛	2021/10/28	26028.000	0	0.058
62215	正常	牛	2021/03/30	24838.000	0	0.091
63135	正常	牛	2021/11/29	26000.000	0	0.062
63227	正常	牛	2022/01/28	26428.000	0	0.024
63232	正常	牛	2021/10/28	26148.000	0	0.051
63303	正常	牛	2021/08/30	26228.000	0	0.042
63852	正常	牛	2022/01/28	26288.000	0	0.038
64010	正常	牛	2021/09/29	26428.000	0	0.024
64748	正常	牛	2022/01/28	26328.000	0	0.034
65119	正常	牛	2021/12/30	26450.000	0	0.020
65120	正常	牛	2021/12/30	26300.000	0	0.034
65331	正常	熊	2020/03/30	28938.000	0	0.130
66314	正常	熊	2020/04/28	30000.000	0	0.350
66387	正常	熊	2020/03/30	28128.000	0	0.169
66389	正常	熊	2020/03/30	28248.000	0	0.181
66414	正常	熊	2020/04/28	29700.000	0	0.315
66460	正常	熊	2020/04/28	28400.000	0	0.194
66491	正常	熊	2020/02/27	28300.000	0	0.187
66739	正常	熊	2020/03/30	27948.000	0	0.154
67061	正常	熊	2020/02/27	27850.000	0	0.121
67077	正常	熊	2020/02/27	28400.000	0	0.156
67078	正常	熊	2020/02/27	28600.000	0	0.174
67172	正常	熊	2020/03/30	28028.000	0	0.160
67174	正常	熊	2020/03/30	28228.000	0	0.179
67175	正常	熊	2020/04/28	28828.000	0	0.235
67217	正常	熊	2020/02/27	27548.000	0	0.114
67415	正常	熊	2020/02/27	28188.000	0	0.177
67418	正常	熊	2020/04/28	28868.000	0	0.242
67467	正常	熊	2020/03/30	27688.000	0	-
67488	正常	熊	2020/07/30	29838.000	0	-
67543	正常	熊	2020/03/30	27700.000	0	-
67548	正常	熊	2020/03/30	28058.000	0	-
67551	正常	熊	2020/03/30	28358.000	0	-
67563	正常	熊	2020/02/27	27950.000	0	0.154
67570	正常	熊	2020/02/27	28500.000	0	0.198
67571	正常	熊	2020/02/27	29000.000	0	0.255
67575	正常	熊	2020/02/27	29500.000	0	-
67598	正常	熊	2020/04/28	27700.000	0	-
67609	正常	熊	2020/02/27	27689.000	0	0.132
67610	正常	熊	2020/03/30	27978.000	0	-
67611	正常	熊	2020/03/30	28338.000	0	-
67612	正常	熊	2020/03/30	28678.000	0	-
67637	正常	熊	2020/02/27	27700.000	0	0.129
67639	正常	熊	2020/03/30	28328.000	0	0.189
67670	正常	熊	2020/03/30	27662.000	0	-
67708	正常	熊	2020/03/30	27662.000	0	0.127
67710	正常	熊	2020/02/27	27828.000	0	0.143
67716	正常	熊	2020/02/27	28028.000	0	0.162
67720	正常	熊	2020/03/30	28368.000	0	0.195
67722	正常	熊	2020/04/28	28768.000	0	0.232
67735	正常	熊	2020/04/28	27738.000	0	-
